Announced or Revised,Agency,Title,Component,Report Number(s),Expected Issue Date (FY),Website_Link,Summary,Office of Evaluation and Inspections
Completed (partial),OS,Review of Office of Intergovernmental and External Affairs Charge Card Programs,Office of Audit Services,W-00-19-59443;  A-03-19-00501;  W-00-22-59443,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000385.asp,"Under the Government Charge Card Abuse Prevention Act of 2012 (Charge Card Act) and Office of Management and Budget Memorandum M-13-21, Implementation of the Government Charge Card Abuse Prevention Act of 2012, agencies must establish and maintain safeguards and internal controls for the charge card program.  Offices of Inspectors General (OIGs) are required to conduct annual risk assessments of agency purchase card and travel card programs to analyze the risks of illegal, improper, and erroneous purchases.  HHS-OIG's risk assessment of HHS's charge card program for FY 2017, identified Office of Intergovernmental and External Affairs (IEA) as having a high risk of inappropriate travel card and purchase card transactions.  Because IEA's charge card program was assessed as high risk, the Charge Card Act requires HHS-OIG to conduct a further review.  We will review the IEA's travel card and purchase card programs to determine whether the programs complied with Federal requirements.",
Completed,Centers for Medicare & Medicaid Services,Data Brief: Opioid Use in Medicare Part D in Missouri,Office of Evaluation and Inspections,OEI-02-19-00391,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000386.asp,"Drug overdose deaths are at epidemic levels, and the opioid crisis is a public health emergency.  In 2017, there were 47,600 opioid-related overdose deaths in the United States.  A total of 952 of these deaths occurred in Missouri.  Identifying beneficiaries who are at risk of overdose or abuse is key to addressing this crisis.  This data brief will provide information on opioid use in Medicare Part D in Missouri in 2018, including data on beneficiaries who received opioids and data on beneficiaries who may be at serious risk of opioid misuse or overdose.  ",
Revised,Centers for Medicare & Medicaid Services,Overturned Denials in Medicaid Managed Care,Office of Evaluation and Inspections,OEI-09-19-00350,2023,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000387.asp,"Managed care organizations (MCOs) contract with State Medicaid agencies to provide beneficiaries with Medicaid services.  MCOs must cover services in at least the same amount, duration, and scope that would be covered under Medicaid fee-for-service.  However, capitated payment models in managed care may create an incentive for MCOs to inappropriately limit or deny access to covered services to increase profits.  We will review the extent to which selected MCOs' denied services and payments were overturned upon appeal.  We will also review any concerns about the selected MCOs' performance related to denials and appeals that were identified through State oversight and monitoring efforts.",
July 2019,Indian Health Service,Quality of Maternal Healthcare in Indian Health Service Hospitals,Office of Evaluation and Inspections,OEI-06-19-00190,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000388.asp,"Maternal mortality and morbidity are increasing in the United States, and up to 60 percent of maternal deaths may be preventable.[1], [2], [3]  The American College of Obstetricians and Gynecologists issues guidance on safe practices during labor and delivery intended to help reduce maternal mortality and other complications.  Failure to follow recommended practices is not necessarily improper and does not always cause patient harm, but it may indicate substandard quality of care.  We will use medical record reviews by an obstetrician/gynecologist specializing in patient safety to identify and describe examples of potentially substandard care during labor and delivery in IHS hospitals.  These anecdotes may help IHS to target hospital improvement efforts.  We will also identify factors that may be related to the potentially substandard care., [1] Callaghan, WM, ""Severe Maternal Morbidity Among Delivery and Postpartum Hospitalizations in the United States.""  Obstetrics and Gynecology, Nov. 2012.  Accessed at 
        <a href=""https://journals.lww.com/greenjournal/Fulltext/2012/11000/Severe_Maternal_Morbidity_Among_Delivery_and.8.aspx#pdf-link"">https://journals.lww.com/greenjournal/Fulltext/2012/11000/Severe_Maternal_Morbidity_Among_Delivery_and.8.aspx#pdf-link</a> on June 18, 2019., [2] American College of Obstetricians and Gynecologists, ""Obstetric Care Consensus,"" Sept. 2016 (reaffirmed 2018).  Accessed at 
    <a href=""https://www.acog.org/Clinical-Guidance-and-Publications/Obstetric-Care-Consensus-Series/Severe-Maternal-Morbidity-Screening-and-Review?IsMobileSet=false"">https://www.acog.org/Clinical-Guidance-and-Publications/Obstetric-Care-Consensus-Series/Severe-Maternal-Morbidity-Screening-and-Review?IsMobileSet=false</a> on December 12, 2018., [3] Centers for Disease Control and Prevention Foundation, ""Building U.S. Capacity to Review and Prevent Maternal Deaths: Report from Nine Maternal Mortality Review Committees.""  Accessed at <a href=""https://www.cdcfoundation.org/sites/default/files/files/ReportfromNineMMRCs.pdf"">https://www.cdcfoundation.org/sites/default/files/files/ReportfromNineMMRCs.pdf</a> on June 18, 2019.",
Revised,Centers for Medicare & Medicaid Services,Medicare Payments of Positive Airway Pressure Devices for Obstructive Sleep Apnea Without Conducting a Prior Sleep Study,Office of Audit Services,W-00-19-35823; W-00-22-35823,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000389.asp,"An OIG analysis of the 2017 Comprehensive Error Rate Testing (CERT) program for positive airway pressure (PAP) device payments shows potential overpayments of $566 million.  Claims for PAP devices used to treat obstructive sleep apnea (OSA) for beneficiaries who have not had a positive diagnosis of OSA based on an appropriate sleep study are not reasonable and necessary (Medicare National Coverage Determination Manual, Chapter 1, Part 4, § 240.4 and Local Coverage Determination (LCD) L33718).  Medicare will not pay for items or services that are not ""reasonable and necessary"" (Social Security Act § 1862(a)(1)(A)).  We will examine Medicare payments to durable medical equipment providers for PAP devices used to treat OSA to determine whether an appropriate sleep study was conducted. ",
Completed (partial),Centers for Medicare & Medicaid Services,States' Medicaid Agency Claims for Indian Health Service Expenditures,Office of Audit Services,W-00-19-31538;  A-06-19-09005,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000390.asp,"The Federal government pays its share of a State's Medicaid expenditures based on the Federal Medical Assistance Percentage (FMAP), which varies depending on the State's relative per capita income.  States' regular FMAPs range from a low of 50 percent to a high of 83 percent; however, States receive a 100-percent FMAP for expenditures related to services received through Indian Health Service (IHS) facilities. In Federal fiscal years 2016 through 2018, States claimed $6.6 billion in expenditures at the IHS services FMAP, all of which was federally funded.  We will analyze selected States' methodologies for identifying expenditures claimed at the IHS services FMAP and determine whether the States claimed these expenditures in accordance with Federal requirements.",
Revised,Centers for Medicare & Medicaid Services,Review of the Medicare DRG Window Policy,,OEI-05-19-00380,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000391.asp,"Outpatient services directly related to an inpatient admission are considered part of the inpatient payment and are not separately payable by Medicare.  The diagnosis-related group (DRG) window policy defines when CMS considers outpatient services to be an extension of inpatient admissions, and generally includes services that are (1) provided within the 3 days immediately preceding an inpatient admission to an acute-care hospital, (2) diagnostic services or admission-related nondiagnostic services, and (3) provided by the admitting hospital or by an entity wholly owned or operated by the admitting hospital.  Building on previous OIG work, we will determine the number of admission-related outpatient services that were not covered by the DRG window policy in 2018, including services that were provided prior to the start of the DRG window and services that were provided at hospitals that shared a common owner.  We will also determine the amounts that Medicare and beneficiaries would have saved in 2018 if the DRG window policy had been updated to include more days and other hospital ownership structures.  In addition, we will interview CMS staff to identify other payment models that CMS could use to pay for outpatient services related to inpatient admissions.",Office of Evaluation and Inspections
August 2019,Centers for Medicare & Medicaid Services,Opioids in Medicaid: Review of Extreme Use and Overprescribing in the Appalachian Region,Office of Evaluation and Inspections,OEI-05-19-00410,FY 2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000392.asp,"Opioid abuse and overdose deaths remain at crisis levels in the United States and the Appalachian region.  In 2017, opioids were involved in nearly 48,000 overdose deaths nation-wide, and the opioid overdose death rate was 72 percent higher in Appalachian counties than non-Appalachian counties.  These issues are of particular concern for Medicaid beneficiaries, who are more likely to have chronic conditions and comorbidities that require pain relief, especially those beneficiaries who qualify through a disability.  Consistent with previous OIG work in Medicaid and Medicare Part D, we will identify beneficiaries who received extreme amounts of opioids through Medicaid, beneficiaries who appear to be doctor or pharmacy shopping, and prescribers associated with these beneficiaries.",
Completed,Centers for Medicare & Medicaid Services,Medicare Market Shares for Diabetic Testing Strips from April to June 2019,Office of Evaluation and Inspections,OEI-04-19-00480;  OEI-04-19-00481,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000393.asp,"Section 1847(b)(10)(B) of the Social Security Act (the Act) requires OIG to study and submit a report on the Medicare market share of diabetic testing strips (DTS) before each round of the Medicare competitive bidding program.  These data briefs assist CMS in ensuring that bidding suppliers meet the statutory requirement located at section 1847(b)(10)(A) of the Act, known as the 50-percent rule.  Section 50414 of the Bipartisan Budget Act of 2018 amended section 1847(b)(10)(A) by requiring that, for bids to furnish DTS on or after January 1, 2019, CMS must use both mail order and non-mail order data when assessing compliance with the 50-percent rule.  Prior to that amendment, OIG reported only mail order data in its data briefs used for CMS's assessment of compliance with the 50-percent rule.  For this series, the first data brief will determine the Medicare market share of mail order DTS for the 3-month period of April through June 2019.  The second data brief will determine the Medicare market share of non-mail order DTS for the same 3-month period.  This will be the fifth series of OIG data briefs describing the Medicare market share of DTS that OIG has produced since 2010 and the second series that will include both mail order and non-mail order DTS data.",
Completed,Centers for Medicare & Medicaid Services,Nursing Homes: CMS Oversight of State Survey Agencies,Office of Evaluation and Inspections,OEI-06-19-00460,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000394.asp,"CMS enters into agreements with State survey agencies (SAs) to conduct surveys to determine whether nursing homes are compliant with Medicare requirements.  Recent reports by OIG found problems in SA performance, including not verifying whether nursing homes corrected deficiencies and not investigating complaints in a timely manner.  CMS evaluates SA performance in fulfilling their surveying responsibilities, including through Federal monitoring surveys and performance thresholds described in the State Performance Standards System.  When there is inadequate SA performance, CMS may impose a sanction or remedy, such as providing for training of survey teams, requiring the SA to submit a corrective action plan, or reducing the State's allotment of Federal financial participation.  We will describe CMS's efforts to work with SAs to improve performance by conducting interviews and reviewing supporting documentation about CMS's monitoring efforts.  We will also identify any challenges or barriers that may impede CMS's ability to help SAs improve performance.",
August 2019,Administration for Children and Families,Nation-Wide Evaluation of the Prevention of Child Sex Trafficking in Foster Care,Office of Evaluation and Inspections,OEI-07-19-00370,FY 2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000395.asp,"To be eligible to receive Federal funding under Title IV-E of the Social Security Act, States are required to submit State plans demonstrating that the State has developed policies and procedures related to identifying and providing services for children in foster care who are, or are at risk of becoming, a victim of sex trafficking.  This study will evaluate the policies and procedures of all 50 States and the District of Columbia to determine (1) how States screen children in foster care to identify those who are, or are at risk of becoming, a victim of sex trafficking; and (2) how States determine appropriate services for children in foster care who are identified as, or are at risk of becoming, a victim of sex trafficking.  The study will also examine the extent to which the Administration for Children and Families conducts oversight and provides guidance to States regarding children in foster care who are, or are at risk of becoming, a victim of sex trafficking.",
Revised,Administration for Children and Families,States' Prevention of Child Sex Trafficking in Foster Care,Office of Evaluation and Inspections,OEI-07-19-00371,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000396.asp,"In 2013, the Administration for Children and Families reviewed statistics from several studies and found that up to 90 percent of children who were victims of sex trafficking had been involved with child welfare services, which include foster care.  States are required by Federal law to develop policies and procedures related to identifying and providing services for children in foster care who are, or are at risk of becoming, a victim of sex trafficking.  For select States, we will use foster care case file documentation to evaluate (1) the extent to which children were screened to determine whether they are, or are at risk of becoming, a victim of sex trafficking by using the States' policies and procedures; and (2) the extent to which children in foster care who are, or are at risk of becoming, a victim of sex trafficking were provided needed services.",
February 2021,Centers for Medicare & Medicaid Services,Use of Telehealth to Provide Behavioral Health Services in Medicaid Managed Care,Office of Evaluation and Inspections,"OEI-02-19-00400, OEI-02-19-00401",2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000397.asp,"Telehealth generally involves the use of electronic information and telecommunication technologies to provide access to health assessment, diagnosis, intervention, consultation, supervision, and information across distance. States have significant flexibility to provide telehealth services, and all 50 States and the District of Columbia currently provide some Medicaid coverage of telehealth; however, limited information is available about how States use telehealth to provide behavioral health services to Medicaid enrollees. This review will describe: (1) the challenges that States face using telehealth to provide behavioral health services to Medicaid enrollees and (2) the extent to which States assess the effects of telehealth on access, cost, and quality and monitor telehealth to provide behavioral health services. We collected data for these products prior to States' expanding telehealth in response to the COVID-19 pandemic; however, this information continues to be valuable in future decisions to strengthen telehealth on a more permanent basis.",
Completed,Centers for Medicare & Medicaid Services,Medicaid Assisted Living Services,Office of Audit Services,W-00-19-31541; A-02-19-01017,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000398.asp,"Medicaid may provide assisted living services to beneficiaries who are medically eligible for placement in a nursing home but opt for a less medically intensive, lower-cost setting.  These services may include personal care (e.g., assistance with dressing and bathing), homemaker services (e.g., housecleaning and laundry), personal emergency response services, and therapy services (i.e., physical, speech, and occupational).  A 2018 Government Accountability Office report indicated that improved Federal oversight of beneficiary health and welfare is needed in States' administration of Medicaid assisted living services.  We will determine whether assisted living providers are meeting quality-of-care requirements for Medicaid beneficiaries residing in assisted living facilities and whether the providers properly claimed Medicaid reimbursement for services in accordance with Federal and State requirements.",
Revised,Centers for Medicare & Medicaid Services,Medicare Part B Services to Medicare Beneficiaries Residing in Nursing Homes During Non-Part A Stays,Office of Audit Services,W-00-19-35824; W-00-22-35824,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000399.asp,"Medicare pays physicians, non-physician practitioners, and other providers for services rendered to Medicare beneficiaries, including those residing in nursing homes (NHs).  Most of these Part B services are not subject to consolidated billing; therefore, each provider submits a claim to Medicare.  Since the 1990s, OIG has identified problems with Part B payments for services provided to NH residents.  An opportunity for fraudulent, excessive, or unnecessary Part B billing exists because NHs may not be aware of the services that the providers bill directly to Medicare, and because NHs provide access to many beneficiaries and their records.  We will determine whether Part B payments to Medicare beneficiaries in NHs are appropriate and whether NHs have effective compliance programs and adequate controls over the care provided to their residents.",
Revised,Centers for Medicare & Medicaid Services,Review of Medicare Facet Joint Procedures,Office of Audit Services,W-00-19-35825; W-00-22-35825,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000400.asp,"Facet joint injections are an interventional technique used to diagnose or treat back pain.  Several previous reviews found significant billing errors in this area, including a prior OIG review.  We will review whether payments made by Medicare for facet joint procedures billed by physicians complied with Federal requirements (Social Security Act, § 1833(e), 42 CFR § 424.32(a)(1), and 42 CFR §414.40). ",
Completed (partial),Centers for Medicare & Medicaid Services,Review of Hospice Inpatient and Aggregate Cap Calculations,Office of Audit Services,W-00-19-35826;W-00-21-35826,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000401.asp,"Hospice care can provide great comfort to beneficiaries, families, and caregivers at the end of a beneficiary's life.  To ensure that hospice care does not exceed the cost of conventional medical care at the end of life, Medicare imposes two annual limits to payments made to hospice providers: the inpatient cap and the aggregate cap.  The inpatient cap limits the number of days of inpatient care for which Medicare will pay to 20 percent of a hospice's total Medicare patient care days, and a hospice must refund to Medicare any payment amounts in excess of the inpatient cap.  The aggregate cap limits the total aggregate payments that any individual hospice can receive in a cap year to an allowable amount based on an annual per-beneficiary cap amount and the number of beneficiaries served.  Any amount paid to a hospice for its claims in excess of the aggregate cap is considered an overpayment and must be repaid to Medicare.  Medicare administrative contractors (MACs) oversee the cap process and hospices must file their self-determined aggregate cap determination notice with their MAC no later than 5 months after the end of the cap year and remit any overpayment due at that time.",
Revised,Centers for Medicare & Medicaid Services,Medicare Part B Payments for Speech-Language Pathology,Office of Audit Services,W-00-19-35827; W-00-21-35827,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000402.asp,"Outpatient speech therapy services are provided by speech-language pathologists and are necessary for the diagnosis and treatment of speech and language disorders that result in communication disabilities and swallowing disorders (dysphagia).  When Medicare payments for a beneficiary's combined physical therapy and speech therapy exceed an annual therapy spending threshold (e.g., $2,010 in 2018), the provider must append the KX modifier to the appropriate Healthcare Common Procedure Coding System reported on the claim.  The KX modifier denotes that outpatient physical therapy and speech therapy services combined have exceeded the annual spending threshold per beneficiary, and that the services being provided are reasonable and necessary for the diagnosis or treatment of illness or injury or to improve the functioning of a malformed body member.  We will determine whether the claims using the KX modifier adhere to Federal requirements.  In addition, we will evaluate payment trends to identify Medicare payments for outpatient speech therapy services billed using the KX modifier that are potentially unallowable.",
Revised,Centers for Medicare & Medicaid Services,Review of Medicare Payments for Power Mobility Device Repairs,Office of Audit Services,W-00-19-35828; W-00-22-35828,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000403.asp,"Medicare Part B covers medically necessary power mobility devices (PMDs), such as power wheelchairs, and PMD repairs that are reasonable and necessary to make the equipment serviceable.  For calendar year 2018, Medicare Part B paid approximately $46.7 million for PMD repairs, including replacement parts needed to repair PMDs.  Durable medical equipment (DME) suppliers must maintain documentation from the physician or treating practitioner indicating that the PMD being repaired continued to be medically necessary and that the repairs were reasonable and necessary.  DME suppliers must also maintain detailed records describing the need for and nature of all repairs, which includes a justification for the replaced parts and the labor time.  In addition, if the expense for repairs exceeds the estimated expense of purchasing or renting another PMD for the remaining period of medical need, no payment can be made for the amount of the excess.  We will audit Medicare payments for PMD repairs to determine whether suppliers complied with Medicare requirements.",
Completed (partial),Centers for Medicare & Medicaid Services,Review of Medicare Part B Urine Drug Testing Services,Office of Audit Services,A-09-20-03017;  W-00-20-35829,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000404.asp,"Medicare covers treatment services for substance use disorders (SUDs), such as inpatient and outpatient services when they are reasonable and necessary.  SUDs occur when the recurrent use of alcohol or other drugs causes clinically significant impairment, including health problems, disability, and failure to meet major responsibilities at work, school, or home.  Medicare also covers clinical laboratory services, including urine drug testing (UDT), under Part B.  Physicians use UDT to detect the presence or absence of drugs or to identify specific drugs in urine samples.  A patient in active treatment for an SUD or being monitored during different phases of recovery from an SUD may undergo medical management for a variety of medical conditions.  UDT results influence treatment and level-of-care decisions for individuals with SUDs.  The 2018 Medicare fee-for-service improper payment data showed that laboratory testing, including UDT, had an improper payment rate of almost 30 percent, and that the overpayment rate for definitive drug testing for 22 or more drug classes was 71.7 percent.  We will review UDT services for Medicare beneficiaries with SUD-related diagnoses to determine whether those services were allowable in accordance with Medicare requirements.",
Revised,Centers for Medicare & Medicaid Services,Supplier Compliance with Medicare Requirements for Replacement of Positive Airway Pressure Device Supplies,Office of Audit Services,W-00-20-35830; W-00-22-35830,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000405.asp,"Beneficiaries receiving continuous positive airway pressure or respiratory assist device (collectively known as positive airway pressure (PAP) devices) therapy require replacement of supplies (e.g., mask, tubing, headgear, and filters) when they wear out or are exhausted.  Medicare payments for these replacement supplies in 2017 and 2018 were approximately $945.8 million.  Prior OIG work found that most Medicare claims that suppliers submitted for replacement PAP device supplies did not comply with Medicare requirements.  For supplies and accessories used periodically, orders must specify the type of supplies needed, the frequency of use, if applicable, and the quantity to be dispensed, and suppliers must not automatically ship refills on a predetermined basis (Centers for Medicare &amp; Medicaid Services Medicare Program Integrity Manual, Pub. 100-08, Ch. 5, §§ 5.2.3 and 5.2.8).  We will review claims for frequently replaced PAP device supplies at selected suppliers to determine whether documentation requirements for medical necessity, frequency of replacement and other Medicare requirements are met.",
Removed,Food and Drug Administration,An Assessment of the U.S. Food and Drug Administration's Postmarket Surveillance of Medical Devices,Office of Evaluation and Inspections,OEI-01-19-00470,,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000406.asp,"As the information that the U.S. Food and Drug Administration (FDA) receives about medical device safety and effectiveness is increasingly gathered in the postmarket setting, it is more important than ever that FDA's postmarket safety surveillance system can effectively identify and act on safety signals.  We will assess and describe how FDA's established passive postmarket surveillance system identifies and tracks safety concerns, and assess FDA's response to those concerns.  We will also describe how elements of FDA's newer surveillance system initiatives, such as the Unique Device Identification system, are being integrated into the passive postmarket surveillance system.  In addition, we will describe how FDA plans to integrate these initiatives into the National Evaluation System for health Technology, its in-development active postmarket surveillance system.",
Completed (partial),Centers for Medicare & Medicaid Services,Medicaid Concurrent Eligibility,Office of Audit Services,A-05-19-00023;  A-05-19-00031;  A-05-19-00032;  W-00-19-31539,2023,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000407.asp,"State Medicaid agencies contract with managed care organizations (MCOs) to make services available to enrolled Medicaid beneficiaries.  The contractual arrangement shifts financial risk for the cost of care to the MCO.  State Medicaid agencies pay MCOs on a per-beneficiary per-month basis, and MCOs are at financial risk if the costs of care exceed those payments.  If a beneficiary who resides in one State subsequently establishes residency in another State, the beneficiary's Medicaid eligibility in the previous State should end and the MCO should not receive payments for that beneficiary.  Our review will determine whether States made capitation payments on behalf of beneficiaries who established residency in another State.",
Completed,Centers for Medicare & Medicaid Services,Additional Programming Code for Toolkit: Using Data Analysis To Calculate Opioid Levels and Identify Patients at Risk of Misuse or Overdose,Office of Evaluation and Inspections,OEI-02-17-00561,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000408.asp,"In June 2018, the Office of Evaluation and Inspections (OEI) released a new product entitled <i>Toolkit: Using Data Analysis To Calculate Opioid Levels and Identify Patients at Risk of Misuse or Overdose</i> (OEI-02-17-00560).  The toolkit, which is based on the methodology we developed for our recent opioid data briefs, provides detailed steps for using prescription claims data to analyze patients' opioid levels and to identify certain patients who are at risk of opioid misuse or overdose.  We released the toolkit with SAS programming code.  We will extend the reach of the toolkit and issue the programming code in two commonly used coding languages, R and SQL, for our public and private partners to use to further combat the opioid crisis.",
February 2020,"OS, ACF, ACL, AHRQ, CDC, FDA, HRSA, NIH, SAMHSA",Audit of HHS Information Technology Recovery Readiness,Office of Audit Services,W-00-20-42025,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000409.asp,"HHS is responsible for administering programs that support the health and welfare of one in four Americans.  HHS also leads the nation's medical and public health preparedness for, response to, and recovery from disasters and public health emergencies.  To ensure continuity of this extensive mission and in accordance with Federal mandates, HHS must have effective contingency plans in place to ensure that it continues to meet its mission in the event of a disaster or major disruption.  We will determine whether HHS has effective contingency planning for its information technology systems",
Completed,Administration for Children and Families,Review of Office of Refugee Resettlement's Awarding of a No-Bid Contract for the Unaccompanied Alien Children Program,Office of Audit Services,A-12-20-20001;W-00-20-20001,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000410.asp,"The Unaccompanied Alien Children (UAC) Program, managed by the Office of Refugee Resettlement (ORR), Administration for Children and Families (ACF), provides temporary shelter, care, and other related services to unaccompanied children.  ORR funds a network of approximately 170 state-licensed care provider facilities for children in its custody.  Operating under cooperative agreements and contracts with ORR, these facilities provide housing, food, medical care, mental health services, recreational activities, and educational services for the children in their care.  ORR also operates influx facilities to provide temporary emergency shelter and services for children, usually on federally owned or leased property, and these facilities are not state-licensed.  ORR contracted with Comprehensive Health Service, LLC (CHS), a for-profit medical management services provider, to operate a temporary influx care facility located in Homestead, Florida.  The Federal Acquisition Regulation (FAR) guides the acquisition process by which executive agencies of the U.S. Government acquire goods and services by contract with appropriated funds.  The HHS Acquisition Regulation establishes uniform HHS acquisition policies and procedures that implement and supplement the FAR.  The contract that ORR awarded to CHS was a 7-month no-bid contract totaling over $341 million for support services for emergency temporary shelter operations.  We will determine whether ORR awarded the $341 million contract with CHS in accordance with Federal statutes, regulations, and HHS's policies and procedures.",
Completed,Centers for Medicare & Medicaid Services,Comparison of Average Sales Prices and Average Manufacturer Prices: Results for the First Quarter of 2020,Office of Evaluation and Inspections,OEI-03-20-00060,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000411.asp,"When Congress established average sales price (ASP) as the basis for Medicare Part B drug reimbursement, it also provided a mechanism for monitoring market prices and limiting potentially excessive Medicare payment amounts.  The Social Security Act mandates that the OIG compare ASPs with average manufacturer prices (AMPs).  If OIG finds that the ASP for a drug exceeds the AMP by 5 percent in the two previous quarters or three of the previous four quarters, the Secretary of Health and Human Services may substitute the reimbursement amount with a lower calculated rate.  This quarterly memo summarizes the results of OIGs comparison analysis based on ASP and AMP data reported for the first quarter of 2020.  The memo specifically reports the number of drugs OIG identified that met the criteria for substitution of a lower reimbursement amount.",
Completed,Centers for Medicare & Medicaid Services,Comparison of Average Sales Prices and Average Manufacturer Prices: Results for the Second Quarter of 2019,Office of Evaluation and Inspections,OEI-03-20-00070,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000412.asp,"When Congress established average sales price (ASP) as the basis for Medicare Part B drug reimbursement, it also provided a mechanism for monitoring market prices and limiting potentially excessive Medicare payment amounts.  The Social Security Act mandates that OIG compare ASPs with average manufacturer prices (AMPs).  If OIG finds that the ASP for a drug exceeds the AMP by 5 percent in the two previous quarters or three of the previous four quarters, the Secretary of Health and Human Services may substitute the reimbursement amount with a lower calculated rate.  This quarterly memo summarizes the results of OIGs comparison analysis based on ASP and AMP data reported for the second quarter of 2019.  The memo specifically reports the number of drugs OIG identified that met the criteria for substitution of a lower reimbursement amount.",
Completed,Centers for Medicare & Medicaid Services,Comparison of Average Sales Prices and Average Manufacturer Prices: Results for the Fourth Quarter of 2019,Office of Evaluation and Inspections,OEI-03-20-00050,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000413.asp,"When Congress established average sales price (ASP) as the basis for Medicare Part B drug reimbursement, it also provided a mechanism for monitoring market prices and limiting potentially excessive Medicare payment amounts.  The Social Security Act mandates that OIG compare ASPs with average manufacturer prices (AMPs).  If OIG finds that the ASP for a drug exceeds the AMP by 5 percent in the two previous quarters or three of the previous four quarters, the Secretary of Health and Human Services may substitute the reimbursement amount with a lower calculated rate.  This quarterly memo summarizes the results of OIGs comparison analysis based on ASP and AMP data reported for the fourth quarter of 2019.  The memo specifically reports the number of drugs OIG identified that met the criteria for substitution of a lower reimbursement amount.",
Completed,Centers for Medicare & Medicaid Services,Comparison of Average Sales Prices and Average Manufacturer Prices: Results for the Third Quarter of 2019,Office of Evaluation and Inspections,OEI-03-20-00040,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000414.asp,"When Congress established average sales price (ASP) as the basis for Medicare Part B drug reimbursement, it also provided a mechanism for monitoring market prices and limiting potentially excessive Medicare payment amounts.  The Social Security Act mandates that OIG compare ASPs with average manufacturer prices (AMPs).  If OIG finds that the ASP for a drug exceeds the AMP by 5 percent in the two previous quarters or three of the previous four quarters, the Secretary of Health and Human Services may substitute the reimbursement amount with a lower calculated rate.  This quarterly memo summarizes the results of OIGs comparison analysis based on ASP and AMP data reported for the third quarter of 2019.  The memo specifically reports the number of drugs OIG identified that met the criteria for substitution of a lower reimbursement amount.",
Revised,Centers for Medicare & Medicaid Services,Medicare Payments for Stelara,Office of Evaluation and Inspections,OEI-BL-19-00500,2023,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000415.asp,"Since 2016, total Medicare Part B payments to physicians for Stelara-an expensive drug used to treat certain autoimmune diseases that is often self-injected by patients in their home-have increased substantially.  Such a large increase in payments for a drug that would not typically be covered under Part B raises questions about what is driving the growth, including the possibility of improper billing.  In this study, OIG will (1) determine whether versions of Stelara that are typically self-injected meet the criteria for Medicare Part B coverage, (2) identify factors that may be causing the substantial growth in payments, and (3) determine whether claims for Stelara show evidence of improper billing by physicians.",
