,Report Number(s),Workplan_Title,Workplan_Summary
492,OEI-02-17-00021,Safeguards Must Be Strengthened To Protect Medicare Hospice Beneficiaries From Harm Report  (OEI-02-17-00021) 07-03-2019,"<a href=""/newsroom/media-materials/2019/hospice/"">2019: Vulnerabilities in Hospice Care</a>, This report describes specific instances of harm to hospice beneficiaries and identifies vulnerabilities in CMS's efforts to prevent and address harm.  In past work, the Office of Inspector General (OIG) raised a number of concerns about the care provided to Medicare beneficiaries.  As part of a recent portfolio, OIG found that hospices did not always provide needed services to beneficiaries and sometimes provided poor quality care.  Hospice care can provide great comfort to beneficiaries, their families, and caregivers at the end of a beneficiary's life.  Medicare hospice beneficiaries have the right to be free from abuse, neglect, and other harm.  When hospices cause harm or fail to take action when harm is caused by others, beneficiaries are deprived of these basic rights.  This report is the second in a two-part series addressing hospice quality of care.  The companion report identifies risks posed to Medicare beneficiaries from hospice deficiencies., We based this report primarily on 12 cases of beneficiary harm from a review of the survey reports for a purposive sample of 50 serious deficiencies in 2016.  We reviewed the survey reports and the associated plans of correction to describe the 12 cases of harm and to gain an understanding of CMS's efforts to prevent and address beneficiary harm.  We purposively selected these 12 cases for review because of the severity of harm to the beneficiary.  These cases do not represent the majority of hospice beneficiaries or hospice providers.  They also do not reflect the prevalence of harm to hospice beneficiaries., Some instances of harm resulted from hospices providing poor care to beneficiaries and some resulted from abuse by caregivers or others and the hospice failing to take action.  These cases reveal vulnerabilities in CMS's efforts to prevent and address harm.  These vulnerabilities include insufficient reporting requirements for hospices, limited reporting requirements for surveyors, and barriers that beneficiaries and caregivers face in making complaints.  Also, these hospices did not face serious consequences for the harm described in this report.  Specifically, surveyors did not always cite immediate jeopardy in cases of significant beneficiary harm and hospices' plans of correction are not designed to address underlying issues.  In addition, CMS cannot impose penalties, other than termination, to hold hospices accountable for harming beneficiaries.  , These cases reveal vulnerabilities in beneficiary protections that CMS must address.  The findings of this report provide further support for an existing OIG recommendation that CMS should seek statutory authority to establish additional, intermediate remedies for poor hospice performance.  To effectively protect beneficiaries from harm, CMS must have enforcement tools.  In addition, we make several new recommendations to strengthen safeguards to protect Medicare hospice beneficiaries from harm.  CMS should (1) strengthen requirements for hospices to report abuse, neglect, and other harm; (2) ensure that hospices are educating their staff to recognize signs of abuse, neglect, and other harm; (3) strengthen guidance for surveyors to report crimes to local law enforcement; (4) monitor surveyors' use of immediate jeopardy; and (5) improve and make user-friendly the process for beneficiaries and caregivers to make complaints.  CMS concurred with the first four of these recommendations and partially concurred with the fifth."
493,OEI-01-18-00250,Facility-Initiated Discharges in Nursing Homes Require Further Attention OEI-01-18-00250 11-18-2021,"Nursing homes can legally discharge residents for certain reasons (known as facility-initiated discharges).  Facility-initiated discharges that do not comply with regulations (i.e., inappropriate facility-initiated discharges) can be unsafe and a traumatic experience for the resident; media reports have highlighted the rise in these discharges.  For example, the police found one resident on the streets after a nursing home discharged the resident to an unlicensed boarding house without notifying the resident's family.  In addition, State Ombudsmen have cited ""discharge/eviction"" as the top complaint from 2013 through 2019.  Given concerns about inappropriate facility-initiated discharges and the risk to vulnerable nursing home residents, efforts to reduce these discharges warrant our examination. , We surveyed State Ombudsmen in all 50 States and the District of Columbia.  We also analyzed CMS administrative data to determine the number of nursing homes that received a deficiency related to facility-initiated discharge.  We interviewed officials in ACL, CMS, and all 10 CMS Regional Offices about efforts to reduce inappropriate facility-initiated discharges.  We also interviewed five State Ombudsmen about the effect of COVID-19 on these discharges., The magnitude of facility-initiated discharges in nursing homes remains unknown.  Many challenges exist to identifying and addressing inappropriate facility-initiated discharges, including that neither ACL nor CMS collect data on the number of facility-initiated discharges, and many State Ombudsmen do not count or track the notices they receive.  Nursing homes must send facility-initiated discharge notices to State Ombudsmen, but ACL does not collect data on these.  State Ombudsmen reported facing challenges while responding to facility-initiated discharges, such as nursing homes sending facility-initiated discharge notices that lack required information.  Moreover, the COVID-19 pandemic exacerbated challenges.  In addition, Ombudsmen, CMS, and State agencies may differ in their perspectives on regulations and enforcement of facility-initiated discharges.  Following CMS's initiative to review and take appropriate enforcement action in cases of noncompliance with facility-initiated discharge requirements, State agencies cited many more nursing homes for not complying with notice requirements for discharges in 2018.  CMS has not yet determined the trends and outcomes of its initiative., Our findings raise concerns about weaknesses in the safeguards to protect nursing home residents from harm that may result from inappropriate facility-initiated discharges.  We recommend that CMS provide training to nursing homes, assess the effectiveness of its enforcement of inappropriate facility-initiated discharges, and implement its deferred initiatives to address inappropriate facility-initiated discharges.  CMS concurred with these recommendations.  We recommend that ACL assist State Ombudsman programs with a data-collection system for facility-initiated discharge notices and establish guidance for analysis and reporting of data from these notices.  ACL concurred with these recommendations.  Finally, we recommend that ACL and CMS coordinate to strengthen safeguards to protect nursing home residents and ensure that all State Ombudsmen, State agencies, and CMS ROs have an ongoing venue to share information about facility-initiated discharges.  ACL and CMS did not explicitly state whether they concurred with our recommendation to coordinate to strengthen safeguards to protect nursing home residents but stated that they will continue to work together as well as with other stakeholders to address concerns related to inappropriate discharges.  CMS and ACL concurred with our recommendation to have an ongoing venue to share information about facility-initiated discharges. "
494,OEI-02-18-00380,Trend Toward More Expensive Inpatient Hospital Stays in Medicare Emerged Before COVID-19 and Warrants Further Scrutiny OEI-02-18-00380 02-19-2021,"Hospitals have long been essential providers in our healthcare system.  Medicare payments reflect their importance: nearly one-fifth of all Medicare payments are for inpatient hospitalizations.  In fiscal year (FY) 2019-prior to the COVID-19 pandemic-Medicare spent $109.8 billion for 8.7 million inpatient hospital stays.  Trends in inpatient hospitalizations from FY 2014 through FY 2019 provide important lessons for improving the accuracy of inpatient hospital billing.  From this information, stakeholders can gain a better understanding of how hospitals bill Medicare and of vulnerabilities that Medicare should address.  The pandemic has placed unprecedented stress on the country's health care system, making it more important than ever to ensure that Medicare dollars are spent appropriately., We analyzed paid Medicare Part A claims for inpatient hospital stays from FY 2014 through FY 2019.  We identified trends in hospital billing and Medicare payments for stays at the highest severity level.  Severity levels are determined by the Medicare Severity Diagnosis Related Group (MS-DRG)., Hospitals are increasingly billing for inpatient stays at the highest severity level, which is the most expensive one.  The number of stays at the highest severity level increased almost 20 percent from FY 2014 through FY 2019, ultimately accounting for nearly half of all Medicare spending on inpatient hospital stays.  The number of stays billed at each of the other severity levels decreased.  At the same time, the average length of stay decreased for stays at the highest severity level, while the average length of all stays remained largely the same.  , Stays at the highest severity level are vulnerable to inappropriate billing practices, such as upcoding-the practice of billing at a level that is higher than warranted.  Specifically, nearly a third of these stays lasted a particularly short amount of time and over half of the stays billed at the highest severity level had only one diagnosis qualifying them for payment at that level.  Further, hospitals varied significantly in their billing of these stays, with some billing much differently than most. , Oversight is essential to ensuring that Medicare dollars are spent appropriately.  Inpatient hospital billing in the years leading up to the pandemic indicates that some stays at the highest severity level could be susceptible to inappropriate billing.  Accordingly, we recommend that CMS conduct targeted reviews of MS-DRGs and stays that are vulnerable to upcoding, as well as the hospitals that frequently bill them.  CMS did not concur but acknowledged that there is more work to be done to determine conclusively which changes in billing are attributable to upcoding.  We also think more work needs to be done; therefore, we continue to recommend that CMS conduct targeted reviews to identify stays involving upcoding and hospitals with patterns of upcoding."
495,OEI-05-19-00060,Twenty-Three States Reported Allowing Unenrolled Providers To Serve Medicaid Beneficiaries OEI-05-19-00060 03-30-2020,"An effective provider enrollment process plays a vital role in safeguarding Medicaid from fraudulent and abusive providers.  To strengthen Medicaid provider enrollment, the 21st Century Cures Act (Cures Act) stipulated that States must require all Medicaid providers-both those in Medicaid fee-for-service (FFS) and Medicaid managed care-to enroll with their respective State Medicaid agencies.  The Cures Act mandated that the Office of Inspector General (OIG) submit a report to Congress-by March 31, 2020-that assesses the extent to which States had enrolled all providers that serve Medicaid beneficiaries.  As part of the request, OIG must also provide Congress with information about the amount of Federal financial participation (FFP) that States received for services provided by Medicaid managed care organizations (MCOs) with unenrolled providers. , We based this study on data from the 49 States and the District of Columbia (States) that responded to our survey.  One State (Massachusetts) did not respond.  We requested information on the extent to which States had enrolled all providers.  We conducted followup with 39 States to clarify their survey responses.  We asked States to report the Federal dollars associated with unenrolled providers.  Many States could not report FFP associated with unenrolled MCO network providers.  As a result, we used information about capitation payments (i.e., payments that States make to MCOs) from Transformed Medicaid Statistical Information System (T MSIS).  Finally, we queried staff from CMS on their work with States to enforce the Federal provider enrollment requirements.  , We found that-contrary to Federal requirements-23 States had not enrolled all providers serving Medicaid beneficiaries in their respective Medicaid programs.  As a result, beneficiaries were exposed to potentially harmful providers that had not been screened for fraud, waste, and abuse.  These 23 States reported that they had not enrolled all providers serving beneficiaries in Medicaid managed care or that they had not enrolled all ordering, referring, or prescribing (ORP) providers serving beneficiaries in Medicaid FFS. , Of the 27 States that reported enrolling all providers, 11 States enrolled all providers according to Federal requirements and had enforcement controls.  However, 16 of the 27 States reported that they were not in compliance with the requirements to collect identifying and ownership information necessary for effectively screening Medicaid providers, or that they lacked enforcement controls to ensure ongoing State compliance with provider enrollment requirements. , We recommend that CMS (1) take steps to disallow Federal reimbursements to States for expenditures associated with unenrolled MCO network providers, including seeking necessary legislative authority; (2) work with States to ensure that unenrolled MCO network providers do not participate in Medicaid managed care and assist States in establishing ways to do so; (3) work with States to ensure that they have the controls required to prevent unenrolled ORPs from participating in Medicaid FFS; and (4) work with States to ensure that they are complying with requirements to collect identifying and ownership information on Medicaid provider enrollment forms.  CMS concurred with all of our recommendations.    "
496,OEI-05-18-00480,National Review of Opioid Prescribing in Medicaid Is Not Yet Possible Report  (OEI-05-18-00480) 08-15-2019,"Historically, national Medicaid data—a collection of data submitted by all States—have not been complete, accurate, and timely.  These data have not yet been adequate for national analysis and oversight, even though some States' data have been sufficient for individual State analysis.  Because of concerns with the quality and completeness of the national Medicaid claims database-the Transformed Medicaid Statistical Information System (T-MSIS)-we assessed the completeness of variables needed to monitor national opioid prescribing in Medicaid., We assessed variables needed to identify (1) beneficiaries at risk of opioid misuse or overdose (i.e., variables needed to calculate beneficiaries' total opioid dosage, and diagnosis codes to exclude patients for whom higher doses of opioids may be appropriate) and (2) the National Provider Identifiers (NPIs) of providers that ordered and dispensed opioids (i.e., prescribers and pharmacies, respectively)., A national review of opioid prescribing in Medicaid using T MSIS is not yet possible because not all at-risk beneficiaries and providers can be identified.  Limitations of T-MSIS data impede identification of individual beneficiaries for national opioid analysis.  Further, 32 States were missing NPI, diagnosis code, or quantity.  For the 19 States that were missing pharmacy or prescriber NPI, States were most frequently missing pharmacy NPI., To ensure the identification of at-risk beneficiaries and providers who may be overprescribing, we recommend that CMS (1) work to ensure that individual beneficiaries can be uniquely identified at a national level using T-MSIS, (2) ensure the correct submission of prescriber NPIs, and (3) clarify requirements for diagnosis codes.  CMS concurred with all three recommendations."
497,OEI-09-19-00100,"Medicare Laboratory Test Expenditures Increased in 2018, Despite New Rate Reductions","Effective in 2018, the Medicare program changed the way it sets payment rates for clinical diagnostic laboratory tests (lab tests).  CMS replaced the previous payment rates with new rates based on private payer data collected from labs.  This is the first reform in 3 decades to Medicare's payment system for lab tests.  As part of the same legislation reforming Medicare's payment system, Congress mandated that OIG monitor Medicare payments for lab tests and the implementation and effect of the new payment system for those tests., We analyzed claims data for lab tests that CMS paid for under the Medicare Clinical Laboratory Fee Schedule (CLFS) in 2018.  These tests are covered under Medicare Part B and do not include tests that Medicare paid for under other payment systems, such as the payment system for critical access hospitals or the Hospital Outpatient Prospective Payment System.  We examined Medicare Part B spending for lab tests in 2018 as compared to 2017 and identified key factors that contributed to increased spending.  We identified notable changes to test payment rates and categories and examined factors that affected Medicare spending in certain geographic areas of the lab test marketplace.  Additionally, we identified the top 25 tests based on total spending in 2018 for each lab test procedure code., Medicare spent $7.6 billion for lab tests in 2018, a $459 million increase from $7.1 billion for 2017.  Although payment rates for most tests decreased in 2018, savings that resulted from lower rates were overtaken by increased spending on other tests.  Spending on genetic tests increased from $473 million in 2017 to $969 million in 2018 because of new and expensive tests entering the CLFS, as well as an increase in the volume of existing genetic tests.  Spending on certain chemistry tests also increased by $82 million in 2018 following the end of a discount on these tests.  Finally, a one-time spending increase on some tests occurred in cases in which the national rate was higher than the local payment rates that it replaced., We recommend that CMS seek legislative authority to establish a mechanism to control costs for automated chemistry tests.  Although CMS does not currently have statutory authority to restore the discount that it had previously used to ensure efficient pricing for these tests, CMS should seek legislative change to regain such authority.   CMS neither agreed nor disagreed with our recommendation.  Instead, CMS stated that it would monitor utilization and spending associated with these codes and take OIG's recommendation into consideration when determining appropriate next steps."
498,OEI-03-19-00070,States Could Do More To Prevent Terminated Providers From Serving Medicaid Beneficiaries OEI-03-19-00070 03-30-2020,"The 21st Century Cures Act (Cures Act) includes specific program integrity requirements to ensure that States do not spend Medicaid funds on items and services associated with terminated providers.  In addition, as of July 1, 2018, the Cures Act requires State contracts with managed care organizations (MCOs) to include a provision that providers who were terminated from Medicare, Medicaid, or CHIP cannot participate in their Medicaid managed care networks.  The Cures Act required OIG to determine the following: (1) whether providers in CMS's termination database are terminated from Medicaid in all States, (2) the amount of Medicaid payments associated with terminated providers, (3) whether State contracts with MCOs included a required provision that prohibits providers terminated from Medicare, Medicaid, or CHIP from participating in Medicaid managed care networks, and (4) the amount of Medicaid payments to MCOs that did not have the required provision in their contracts., From CMS, we requested its termination database, which contains information on terminated providers reported by States.  We requested rosters of enrolled providers from States.  We reviewed State enrollment rosters dated between January and May 2019.  We compared terminated providers listed in CMS's February 2019 termination database to the providers in States' rosters of enrolled Medicaid providers. , We also identified fee for service claims and managed care encounter records associated with terminated providers on or after July 1, 2018.  We determined whether these providers were enrolled in Medicaid.  Finally, we examined State contracts with MCOs to determine whether States included in their contracts with MCOs a provision that terminated providers are terminated from all Medicaid managed care networks., Nearly 1,000 terminated providers-or 11 percent of all terminated providers-were inappropriately enrolled in State Medicaid programs or were associated with $50.3 million in Medicaid payments after being terminated.  These providers had been terminated for reasons such as criminal convictions, licensure issues, and provider misconduct and thus potentially posed a risk to beneficiaries' safety and quality of care.  , In addition, only eight States' managed care contracts all clearly included the provision-required by the Cures Act-that prohibits terminated providers from participating in Medicaid managed care networks.  This vulnerability may allow terminated providers to serve Medicaid beneficiaries and reduce States' ability to limit these providers' participation in Medicaid managed care networks.  At the time of our review, CMS did not check for this Cures Act required provision when reviewing States' contracts with MCOs.  Overall, States paid at least $62.3 billion in capitation payments to plans under contracts that did not include the required provision., Finally, States did not always provide complete and accurate Medicaid data to CMS, which limited the breadth of our analysis of claims, encounter records, and payments associated with terminated providers.  Therefore, our findings understate the payments associated with contracts that did not contain the required Cures Act provision and may understate the payments associated with terminated providers.  , To promote States' compliance with the requirements of the Cures Act, we recommend that CMS (1) recover from States the Federal share of inappropriate fee-for-service Medicaid payments associated with terminated providers, (2) implement a method to recover from States the Federal share of inappropriate managed care capitation payments associated with terminated providers (3) follow up with States to remove terminated providers that OIG identified as inappropriately enrolled in Medicaid, (4) confirm that States do not continue to have terminated providers enrolled in their Medicaid programs, (5) safeguard Medicaid from inappropriate payments associated with terminated providers, and (6) review States' contracts with MCOs to ensure that they clearly and specifically include the required provision that prohibits terminated providers from participating in Medicaid managed care networks.  CMS concurred with all six of our recommendations."
499,A-09-19-03007,Medicare Improperly Paid Acute-Care Hospitals $54.4 Million for Inpatient Claims Subject to the Post-Acute-Care Transfer Policy (A-09-19-03007) 11-01-2019,"Prior OIG reviews identified almost $242 million in overpayments to hospitals that did not comply with Medicare's post-acute-care transfer policy (transfer policy).  These hospitals transferred patients to certain post-acute-care settings, such as skilled nursing facilities (SNFs), but claimed the higher reimbursements associated with discharges to home.  Because compliance with the transfer policy has been an issue over a long period, we conducted this followup review to evaluate whether Medicare properly paid acute-care hospitals' claims subject to that policy for those claims with dates of service from January 1, 2016, through December 31, 2018 (audit period)., Our objective was to determine whether Medicare properly paid acute-care hospitals' inpatient claims subject to the transfer policy., Our audit covered $212 million in Medicare Part A payments for 18,647 inpatient claims subject  to the transfer policy.  We first identified specific inpatient claims for our audit period that had a patient discharge status code indicating a discharge to home or certain types of healthcare institutions.  We used the beneficiary information and service dates from those claims to identify services from post-acute-care providers that began (1) on the same date as the inpatient discharge (e.g., SNF claims) or (2) within 3 days of the inpatient discharge (i.e., home health claims)., Medicare improperly paid acute-care hospitals $54.4 million for 18,647 claims subject to the transfer policy.  These hospitals improperly billed the claims by using the incorrect patient discharge status codes.  Specifically, they coded these claims as discharges to home (16,599 claims) or to certain types of healthcare institutions (2,048 claims), such as facilities that provide custodial care, rather than as transfers to post-acute care.  Of these claims, 83 percent were followed by claims for home health services, and 17 percent were followed by claims for services in other post-acute-care settings., Medicare makes the full Medicare Severity Diagnosis-Related Group (MS DRG) payment to an acute-care hospital that discharges an inpatient to home or certain types of healthcare institutions.  In contrast, Medicare pays an acute-care hospital that transfers a beneficiary to post-acute care a per diem rate for each day of the beneficiary's stay in the hospital.  The total overpayment of $54.4 million represented the difference between the amount of the full MS DRG payments and the amount that would have been paid if the per diem rates had been applied., The Centers for Medicare &amp; Medicaid Services (CMS) officials stated that the edits appropriately detected inpatient claims subject to the transfer policy.  However, some Medicare contractors reported that they did not receive the automatic notifications of improperly billed claims or did not take action on those claims to adjust them.  If all of the contractors had received the notifications and properly taken action since calendar year 2013, Medicare could have saved $70 million., We recommend that CMS direct the Medicare contractors to (1) recover the $54.4 million in identified overpayments, (2) identify any claims for transfers to post-acute care in which incorrect patient discharge status codes were used and direct the Medicare contractors to recover any overpayments after our audit period, and (3) ensure that the Medicare contractors are receiving the postpayment edit's automatic notifications of improperly billed claims and are taking action by adjusting the original inpatient claims to initiate recovery of the overpayments., CMS concurred with all of our recommendations and provided information on actions that it planned to take to address our recommendations., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
500,OEI-BL-18-00360,CMS Should Pursue Strategies To Increase the Number of At Risk Beneficiaries Acquiring Naloxone Through Medicaid OEI-BL-18-00360 09-18-2020,"On average, 130 people in the United States die every day from an opioid overdose.  The drug naloxone plays a critical role in saving the lives of those who abuse or misuse opioids-one review of emergency data found that, when given naloxone, 94 percent of people survived their overdose.  In April 2018, the U.S. Surgeon General issued an advisory stating that increasing the availability and targeted distribution of naloxone is a critical component of efforts to reduce deaths from opioid related overdoses.  Similarly, Federal and State agencies have undertaken numerous efforts to increase access to naloxone for those in need.  However, it is widely acknowledged that more needs to be done.  Medicaid covers almost 40 percent of nonelderly adults with opioid use disorder, underscoring the key role that the program can play in providing access to naloxone., We used State-reported Medicaid data to determine how total utilization for naloxone changed in the program between 2014 and 2018.  Using manufacturer-reported sales data, we determined the proportion of all naloxone distributed in the United States that was paid for under Medicaid each year between 2014 and 2018.  We used data on Medicaid drug spending to examine how statutory rebates-paid by manufacturers to States-affected Medicaid payments for naloxone during this period.  , Access to naloxone for Medicaid beneficiaries has expanded significantly, with the program paying for 21 times more doses in 2018 than in 2014.  Despite this growth, Medicaid paid for only 5 percent of all naloxone distributed in the United States in 2018.  This figure is especially concerning given that (1) Medicaid covers almost 40 percent of nonelderly adults with opioid use disorder (OUD) and (2) some States with extremely high overdose mortality rates paid for relatively little naloxone under Medicaid., Because of statutory rebates paid by manufacturers to Medicaid, the program has been able to recoup a large percentage of its spending on naloxone.  For example, in 2018, Medicaid's net cost for Narcan in 2018 was less than the substantially discounted price that Narcan's manufacturer offered to public health organizations for this ""community use"" version of naloxone., CMS and State Medicaid agencies can be encouraged by their progress to date in increasing access to naloxone while also continuing to look for ways to further expand naloxone availability under Medicaid.  We recommend that CMS pursue strategies to increase the number of at-risk beneficiaries acquiring community-use versions of naloxone through Medicaid.  CMS did not explicitly concur with our recommendation but stated that it is already pursuing multiple strategies to increase the number of at-risk beneficiaries acquiring naloxone through Medicaid and will continue to do so. "
501,OEI-02-19-00130,Medicare Part D Beneficiaries at Serious Risk of Opioid Misuse or Overdose: A Closer Look OEI-02-19-00130 05-04-2020,"As the Nation continues to struggle with the opioid crisis, it is vital to gain a deeper understanding of those who are at risk of misuse or overdose.  The 2020 COVID-19 pandemic makes the need to look at this population even more pressing.  The National Institutes of Health recently issued a warning that individuals with opioid use disorder could be particularly hard hit by COVID-19, as it is a disease that attacks the lungs.  Respiratory disease is known to increase the mortality risk among people taking opioids., OIG has been tracking opioid use in Medicare Part D throughout the opioid crisis.  OIG identified 71,260 Part D beneficiaries at serious risk of misuse or overdose in 2017; each of these beneficiaries received extreme amounts of opioids or appeared to be doctor shopping.  This data brief provides a deeper understanding of these beneficiaries by examining their Medicare claims from 2017 and 2018 and determining the following: their opioid amounts; the extent to which they had opioid overdoses; the extent to which they received naloxone through Medicare Part D; and the extent to which they have a diagnosis of opioid use disorder and received drugs for medication-assisted treatment (MAT drugs) through Part D.  This information is critical to helping the Department of Health and Human Services (HHS) target its efforts to combat the opioid crisis., Although opioids can be appropriate under certain circumstances, steps should be taken to mitigate the risk of misuse and overdose, especially when beneficiaries receive high amounts of opioids for long periods of time.  This data brief also demonstrates that opportunities exist for CMS to expand its role in ensuring that beneficiaries receive treatment for opioid use disorder.  Although CMS is taking some significant steps, we recommend that CMS educate Part D beneficiaries and providers about access to MAT drugs and naloxone.  CMS concurred with our recommendation."
502,OEI-05-19-00220,Part D Plans Generally Include Drugs Commonly Used by Dual Eligibles: 2019 Report  (OEI-05-19-00220) 06-27-2019,"This report fulfills for 2019 the annual reporting mandate from the Patient Protection and Affordable Care Act (ACA).  The ACA requires OIG to conduct a study of the extent to which formularies used by Medicare Part D plans include drugs commonly used by full benefit dual eligible individuals (i.e., individuals who are eligible for both Medicare and full Medicaid benefits).  These individuals generally get drug coverage through Medicare Part D.  Pursuant to the ACA, OIG must annually issue a report with recommendations as appropriate.  This is the ninth report that OIG has produced to meet this mandate. , For this report, we determined whether the 401 unique formularies used by the 4,073 Part D plans operating in 2019 cover the 200 drugs most commonly used by dual eligibles.  We also determined the extent to which plan formularies applied utilization management tools to those commonly used drugs.  To create the list of the 200 drugs most commonly used by dual eligibles, we used the 2016 Medicare Current Beneficiary Survey-the most recent data available at the time of our study.  Of the top 200 drugs, 196 are eligible for Part D prescription drug coverage, 2 are excluded from coverage, and 1 is a medical supply item covered by Part D.  One additional drug is eligible for Part D coverage, but we did not include it in our analysis because we could not confidently project the use of this drug to the entire dual-eligible population., Overall, we found that the rate of Part D plan formularies' inclusion of the 196 drugs commonly used by dual eligibles is high, with some variation.  On average, Part D plan formularies include 97 percent of the 196 commonly used drugs.  In addition, 72 percent of the commonly used drugs are included by all Part D plan formularies.  These results are largely unchanged from OIG's findings in our mandated annual report from 2018, as well as from the findings in our reports from 2011 through 2017., We also found that the percentage of drugs to which plan formularies applied utilization management tools decreased slightly between 2018 and 2019.  On average, formularies applied utilization management tools to 28 percent of the unique drugs we reviewed in 2019, a decrease of 1 percentage point from 2018., 
Inclusion rates for the 196 drugs commonly used by dual eligibles are largely unchanged from the inclusion rates listed in our previous reports.  Part D formularies include roughly the same high percentage of these commonly used drugs in 2019 as they did in 2018.  As mandated by the ACA, OIG will continue to monitor and produce annual reports on the extent to which Part D plan formularies cover drugs that dual eligibles commonly use.  In addition, OIG will continue to monitor Part D plan formularies' application of utilization management tools to these drugs.  OIG has no recommendations at this time."
503,OEI-03-19-00150,"NIH Has Made Strides in Reviewing Financial Conflicts of Interest in Extramural Research, But Could Do More Report  (OEI-03-19-00150) 09-25-2019","NIH awards more than 70 percent of its $37 billion budget to universities and other extramural grantee institutions (institutions).  Identifying and managing investigators' financial conflicts of interest (financial conflicts) is critical to safeguarding the integrity of NIH-funded research.  In 2008, OIG identified serious gaps in NIH's oversight of investigators' financial conflicts.  More recently, failures by some investigators to disclose substantial contributions of resources from other organizations-including foreign governments-have raised new concerns about threats to research integrity.  This report focuses on the need for robust oversight, follows up on OIG's prior work, and seeks to determine whether NIH has addressed the gaps that OIG previously identified in the oversight of investigators' financial conflicts.  It also provides-for the first time-information about the total number and types of financial conflicts that institutions are reporting to NIH.  , We collected from NIH the number and type of financial conflicts that institutions reported in fiscal year (FY) 2018.  We sent a questionnaire and conducted an interview with staff from NIH's Office of Extramural Research (OER).  We also reviewed guidance and training documents related to investigators' financial conflicts.  Finally, we interviewed staff at three NIH Institutes and Centers (ICs) regarding their procedures for reviewing the financial conflicts that institutions reported., Over the last decade, NIH has strengthened its reporting requirements and developed an online system for collecting, reviewing, and storing the financial conflicts that institutions report.  Overall, 3 percent of NIH grants in FY 2018 had investigators with financial conflicts.  These grants received $1 billion in funding during FY 2018, and institutions reported a total of 2,755 financial conflicts.  Although NIH has made substantial strides in reviewing the financial conflicts that institutions report, we found inconsistencies in the depth of its oversight reviews.  Across the three ICs that we reviewed, staff differed in the level of scrutiny they applied to their review of financial conflicts.  Furthermore, NIH lacks quality assurance procedures in its review process.  Lastly, NIH cannot identify-and does not plan to identify-whether investigators' financial conflicts involve foreign interests, but is identifying foreign affiliations through a clarification of its requirements for pre-award reporting., We recommend that NIH (1) perform periodic quality assurance reviews of the financial-conflict information in its online system to ensure the adequacy of its oversight, and (2) use information regarding foreign affiliations and support that it collects during the pre-award reporting process to decide whether to revise its financial-conflict review process to address concerns regarding foreign threats.  NIH concurred with both recommendations."
504,A-18-19-06004,,
505,A-03-19-03004,The National Cancer Institute Needs To Strengthen Procedures in Its Pre-Award Process To Assess Risk for Higher Risk Applicants A-03-19-03004 06-01-2020,"The Department of Defense and Labor, Health and Human Services, and Education Appropriations Act, 2019, and Continuing Appropriations Act, 2019, P.L. No. 115-245, directed OIG to examine the efforts of the National Institutes of Health (NIH) to ensure the integrity of its grant application evaluation and recipient selection processes.  This audit is part of OIG's response to this directive.
Our objective was to determine whether the National Cancer Institute (NCI) had adequate policies and procedures in its pre-award process for assessing risk when awarding grant funds. , We obtained a list of all 7,218 extramural grant awards, totaling $3.7 billion, that NCI made in fiscal year 2018.  We interviewed NIH and NCI officials familiar with the grant award process.  We obtained and reviewed NCI policies and procedures covering its grant pre-award risk assessment process.  To review the grant pre-award risk assessment process for different types of recipients and awards, we selected a nonstatistical sample of 14 grant awards, totaling $79.8 million, intended to cover a mix of the types of research awards that NCI funds. , NCI generally had adequate policies and procedures in its pre-award process for identifying an applicant's risk before awarding grant funds.  However, NCI did not adequately document its review process to assess financial capability for applicants that did not receive a grant from NCI in the 3 years before the current application.  In addition, NCI did not have written policies and procedures for conducting and documenting financial capability reviews required by the HHS Grants Policy Administration Manual (GPAM) for applicants that have received funding from NCI within the past 3 years and are experiencing financial difficulty.  To complete its pre-award process for identifying risk, NCI uses an automated system that incorporates checklists used to assess risk and to document the application and review process.  NCI used its checklists to assess risk for all 14 grants that we reviewed.  NCI designated the recipients of 5 of these 14 grants higher risk applicants because they had not received a grant from NCI within the 3 years before the current grant application.  NCI requires that these higher risk applicants undergo an additional review to assess financial capability.  We were unable to determine how NCI Specialists conducted the review because the review was not adequately documented in the grant file., Documentation of applicants' financial capability was lacking because NCI did not have adequate written procedures for conducting and documenting financial capability reviews and for determining how to manage identified risks.  In addition, NCI did not provide adequate training to guide NCI Specialists in their evaluation of applicants' financial capability.  As a result, NCI may not be identifying and mitigating all risks for applicants before grant funds are awarded., We recommend that NIH direct NCI to (1) update and strengthen written procedures for conducting and documenting applicant financial capability reviews as required by the GPAM and for determining how to manage the risks identified by NCI Specialists and (2) provide training to NCI Specialists about how to adequately document their evaluation of the financial capability of applicants. 
In written comments on our draft report, NIH partially concurred with our first recommendation and concurred with our second recommendation.  NCI described its plan to strengthen its procedures and provide additional training to staff.  We agree with these corrective actions. , Filed under: <a href=""/reports-and-publications/oas/nih.asp"">National Institutes of Health </a>"
